Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/ola/sewer_wires_01.rmdl,73756,3656,2591,46928,2448,1612,1,1,4,1
mdl/containers/plastic_pallet_01.rmdl,23136,776,924,16108,578,632,1,1,3,1
mdl/containers/plastic_pallet_02.rmdl,23136,776,924,16108,578,632,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_128.rmdl,36528,1128,1240,24096,768,812,1,1,3,1
mdl/industrial/zipline_arm.rmdl,156444,4278,5449,80028,2306,2758,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_64.rmdl,14712,452,500,8640,272,292,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_64.rmdl,17304,532,588,8640,272,292,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_tjunk.rmdl,104112,3324,3507,52140,1702,1747,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_corner.rmdl,39816,1560,1269,26304,1040,836,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_corner.rmdl,45528,1780,1452,26304,1040,836,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_32_03.rmdl,47364,1510,1596,22464,720,756,1,1,3,1
mdl/pipes/pipe_modular_painted_grey_32_04.rmdl,19056,600,644,12480,400,420,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_32_03.rmdl,56436,1790,1904,22464,720,756,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32.rmdl,37512,1180,1268,22464,720,756,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_04.rmdl,22944,720,776,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_16.rmdl,39168,1232,1324,19632,632,660,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_8.rmdl,23208,740,782,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_8.rmdl,22440,716,756,12480,400,420,1,1,3,1
mdl/IMC_base/imc_portable_ext_double_door_frame_red_01.rmdl,5536,176,224,5536,176,224,1,1,1,1
mdl/thunderdome/survival_modular_flexscreens_04.rmdl,216,4,8,216,4,8,1,1,1,1
mdl/desertlands/industrial_metal_frame_256x144_02.rmdl,65528,1668,2776,36288,968,1524,1,1,3,2
mdl/desertlands/industrial_metal_frame_256x144_01.rmdl,39284,994,1666,21124,554,890,1,1,3,2
mdl/desertlands/construction_bldg_wood_board_01.rmdl,552,12,24,552,12,24,1,1,1,1
mdl/utilities/power_cell_64.rmdl,547988,17238,22228,283556,9746,11254,1,1,4,1
mdl/containers/pelican_case_large.rmdl,151616,4916,6106,67298,2233,2695,1,1,5,1
mdl/containers/pelican_case_large_drabgreen.rmdl,151616,4916,6106,67298,2233,2695,1,1,5,1
mdl/relic/relic_yellow_wire_128_02.rmdl,4320,240,144,4320,240,144,1,1,1,1
mdl/IMC_base/chair_IMC_02.rmdl,51224,1474,2119,29992,892,1232,1,1,2,1
mdl/colony/box_cardboard_flat_01.rmdl,3184,84,134,2632,72,110,1,1,2,1
mdl/angel_city/box_small_01.rmdl,3436,136,131,2780,120,103,1,1,2,1
mdl/relic/relic_yellow_wire_128_01.rmdl,2940,160,99,2940,160,99,1,1,1,1
mdl/domestic/floor_mat_black_01.rmdl,828,18,36,828,18,36,1,1,1,1
mdl/containers/box_med_cardboard_01.rmdl,1648,48,68,1096,36,44,1,1,2,1
mdl/utilities/ceiling_vent_metal.rmdl,4772,142,196,3484,114,140,1,1,3,1
mdl/signs/sign_caution_chemical.rmdl,2036,46,88,1128,28,48,1,1,3,1
mdl/electricalboxes/fusebox.rmdl,7264,224,296,4592,152,184,1,1,3,1
mdl/utilities/wall_Waterpipe.rmdl,86140,2860,3449,39976,1386,1583,1,1,4,1
mdl/signs/sign_caution_pump_warning.rmdl,1380,30,60,840,20,36,1,1,2,1
mdl/industrial/modular_railing_trim_long.rmdl,38380,1430,1490,17120,660,658,1,1,3,1
mdl/signs/sign_service_shaft_01.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/signs/sign_service_shaft_02.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/imc_interior/imc_int_fusebox_01.rmdl,11632,342,479,9936,306,405,1,1,2,1
mdl/industrial/modular_railing_trim_mid.rmdl,20370,755,792,9140,350,352,1,1,3,1
mdl/desertlands/construction_stacker_cone_dirty_01.rmdl,21560,740,856,13260,470,522,1,1,3,1
mdl/industrial/bottle_wine.rmdl,5200,190,203,5200,190,203,1,1,1,1
mdl/IMC_base/conduit_bracket_IMC_04.rmdl,1728,68,66,1728,68,66,1,1,1,1
mdl/IMC_base/conduit_bracket_IMC_02.rmdl,2488,108,92,2488,108,92,1,1,1,1
mdl/industrial/modular_railing_trim_a.rmdl,19800,840,738,9180,400,339,1,1,3,1
mdl/utilities/wires_hanging_64.rmdl,25224,1156,762,25224,1156,762,1,1,1,1
mdl/colony/farmland_crate_plastic_01_red.rmdl,27732,994,907,21948,846,703,1,1,2,1
mdl/domestic/papers_ground02.rmdl,2678,93,106,2678,93,106,1,1,1,1
mdl/domestic/papers_ground01.rmdl,2256,76,90,2256,76,90,1,1,1,1
mdl/pipes/pipe_large_256_01_red.rmdl,17680,700,674,10620,440,399,1,1,3,1
mdl/vehicles_r5/land/msc_forklift_imc_v2/veh_land_msc_forklift_imc_v2_static.rmdl,539690,18585,21409,278484,10144,10881,1,1,5,1
mdl/pipes/pipe_large_32_01.rmdl,39344,1464,1528,22496,856,868,1,1,3,2
mdl/pipes/slum_pipe_large_blue_angle_01.rmdl,32532,1270,1038,21408,880,672,1,1,3,2
mdl/pipes/pipe_large_256_01.rmdl,17680,700,674,10620,440,399,1,1,3,1
mdl/pipes/pipe_large_angle_01.rmdl,30380,1460,1081,17880,880,630,1,1,3,1
mdl/IMC_base/imc_fan_large_02.rmdl,3848,178,139,3848,178,139,1,1,1,1
mdl/pipes/slum_pipe_large_bracket_01.rmdl,78616,2356,3224,49344,1544,2004,1,1,4,1
mdl/utilities/power_gen1.rmdl,298752,10952,11652,146864,5644,5650,1,1,5,1
mdl/pipes/slum_pipe_large_yellow_64_01.rmdl,43944,1584,1722,26576,976,1036,1,1,3,1
mdl/IMC_base/imc_fan_large_case_01_short.rmdl,93362,4377,3355,65164,3304,2267,1,1,4,1
mdl/pipes/slum_pipe_large_yellow_32_01.rmdl,34444,1234,1352,21176,776,826,1,1,3,1
mdl/beacon/beacon_wire_ground_coils_04.rmdl,20636,1056,715,20636,1056,715,1,1,1,1
mdl/utilities/wire_ceiling_mounts_corner_l.rmdl,87008,3168,3400,50312,1872,1954,1,1,3,1
mdl/beacon/mendoko_wires_ground_coils_01.rmdl,33712,1572,1214,33712,1572,1214,1,1,1,1
mdl/industrial/landing_mat_metal_03_large.rmdl,370040,13680,14398,297724,10994,11588,1,1,3,1
mdl/utilities/wire_ceiling_mounts_straight.rmdl,70916,2196,2887,36656,1196,1474,1,1,3,1
mdl/ola/sewer_railing_01_corner_in.rmdl,148368,6108,5586,98076,4376,3591,1,1,3,1
mdl/ola/sewer_railing_01_corner_out.rmdl,148368,6108,5586,98076,4376,3591,1,1,3,1
mdl/ola/sewer_railing_01_128.rmdl,99592,3912,3806,65152,2752,2432,1,1,3,1
mdl/beacon/beacon_wire_ground_coils_02.rmdl,20212,1032,701,20212,1032,701,1,1,1,1
mdl/beacon/mendoko_wire_ground_coils_02.rmdl,20212,1032,701,20212,1032,701,1,1,1,1
mdl/IMC_base/imc_portable_int_wall_pipe_128_01.rmdl,43888,1588,1718,23008,848,896,1,1,3,1
mdl/homestead/homestead_floor_panel_01.rmdl,36144,1084,1482,29060,930,1174,1,1,2,1
mdl/industrial/landing_mat_metal_02.rmdl,66200,2280,2626,49796,1766,1960,1,1,3,1
mdl/industrial/landing_mat_metal_03.rmdl,65832,2272,2610,49796,1766,1960,1,1,3,1
