Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/foliage/ivy_green_02.rmdl,5458,203,212,3242,127,124,1,1,3,1
mdl/containers/plastic_pallet_01.rmdl,23136,776,924,16108,578,632,1,1,3,1
mdl/angel_city/ground_pile_trash_01.rmdl,1446,37,51,1446,37,51,1,1,1,1
mdl/angel_city/ground_pile_trash_03.rmdl,1140,26,41,1140,26,41,1,1,1,1
mdl/pipes/pipe_modular_painted_yellow_256.rmdl,25296,824,848,12168,420,402,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_128.rmdl,36528,1128,1240,24096,768,812,1,1,3,1
mdl/industrial/zipline_arm.rmdl,156444,4278,5449,80028,2306,2758,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_64.rmdl,17304,532,588,8640,272,292,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_corner.rmdl,45528,1780,1452,26304,1040,836,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_32.rmdl,33624,1060,1136,22464,720,756,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_32_03.rmdl,56436,1790,1904,22464,720,756,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32.rmdl,37512,1180,1268,22464,720,756,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_04.rmdl,22944,720,776,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_8.rmdl,23208,740,782,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_8.rmdl,22440,716,756,12480,400,420,1,1,3,1
mdl/IMC_base/imc_portable_ext_double_door_frame_red_01.rmdl,5536,176,224,5536,176,224,1,1,1,1
mdl/utilities/wire_hanging_cluster_03.rmdl,12560,560,460,12560,560,460,1,1,1,2
mdl/thunderdome/survival_modular_flexscreens_04.rmdl,216,4,8,216,4,8,1,1,1,1
mdl/desertlands/construction_bldg_wood_board_01.rmdl,552,12,24,552,12,24,1,1,1,1
mdl/containers/pelican_case_large.rmdl,151616,4916,6106,67298,2233,2695,1,1,5,1
mdl/relic/relic_yellow_wire_128_02.rmdl,4320,240,144,4320,240,144,1,1,1,1
mdl/IMC_base/chair_IMC_02.rmdl,51224,1474,2119,29992,892,1232,1,1,2,1
mdl/colony/box_cardboard_flat_01.rmdl,3184,84,134,2632,72,110,1,1,2,1
mdl/angel_city/box_small_01.rmdl,3436,136,131,2780,120,103,1,1,2,1
mdl/containers/box_med_cardboard_02.rmdl,4096,96,176,2440,60,104,1,1,3,1
mdl/relic/relic_yellow_wire_128_01.rmdl,2940,160,99,2940,160,99,1,1,1,1
mdl/domestic/floor_mat_black_01.rmdl,828,18,36,828,18,36,1,1,1,1
mdl/containers/box_med_cardboard_01.rmdl,1648,48,68,1096,36,44,1,1,2,1
mdl/garbage/garbage_bag_plastic_a.rmdl,7900,310,302,4856,196,184,1,1,2,1
mdl/utilities/ceiling_vent_metal.rmdl,4772,142,196,3484,114,140,1,1,3,1
mdl/electricalboxes/fusebox.rmdl,7264,224,296,4592,152,184,1,1,3,1
mdl/industrial/modular_railing_trim_long.rmdl,38380,1430,1490,17120,660,658,1,1,3,1
mdl/signs/sign_service_shaft_01.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/signs/sign_service_shaft_02.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/imc_interior/imc_int_fusebox_01.rmdl,11632,342,479,9936,306,405,1,1,2,1
mdl/domestic/ladel_restaurant_01.rmdl,12012,652,405,8284,464,275,1,1,2,1
mdl/industrial/modular_railing_trim_mid.rmdl,20370,755,792,9140,350,352,1,1,3,1
mdl/industrial/bottle_wine.rmdl,5200,190,203,5200,190,203,1,1,1,1
mdl/IMC_base/conduit_bracket_IMC_04.rmdl,1728,68,66,1728,68,66,1,1,1,1
mdl/domestic/plastic_cup_small_01.rmdl,2624,94,103,2624,94,103,1,1,1,1
mdl/IMC_base/conduit_bracket_IMC_02.rmdl,2488,108,92,2488,108,92,1,1,1,1
mdl/industrial/modular_railing_trim_a.rmdl,19800,840,738,9180,400,339,1,1,3,1
mdl/domestic/bottle_sake_blue_short_rt.rmdl,4088,188,148,4088,188,148,1,1,1,1
mdl/containers/can_blue_horizontal.rmdl,13908,418,570,5156,196,199,1,1,4,1
mdl/utilities/wires_hanging_64.rmdl,25224,1156,762,25224,1156,762,1,1,1,1
mdl/slum_city/slumcity_pipe_128_corrugated_metal_a.rmdl,16760,520,682,12400,400,500,1,1,2,1
mdl/domestic/papers_ground02.rmdl,2678,93,106,2678,93,106,1,1,1,1
mdl/domestic/papers_ground01.rmdl,2256,76,90,2256,76,90,1,1,1,1
mdl/domestic/magazine_pile_03.rmdl,5096,156,208,5096,156,208,1,1,1,1
mdl/domestic/magazine_pile_02.rmdl,3688,108,152,3688,108,152,1,1,1,1
mdl/domestic/magazine_pile_04.rmdl,3480,100,144,3480,100,144,1,1,1,1
mdl/IMC_base/thumper_generator_set_b.rmdl,564230,18595,22633,279680,9660,11086,1,1,4,1
mdl/pipes/slum_pipe_large_bracket_01.rmdl,78616,2356,3224,49344,1544,2004,1,1,4,1
mdl/utilities/power_gen1.rmdl,298752,10952,11652,146864,5644,5650,1,1,5,1
mdl/imc_base/imc_fan_large_case_01.rmdl,111786,5231,4020,65164,3304,2267,1,1,4,1
mdl/IMC_base/imc_fan_large_case_01_short.rmdl,93362,4377,3355,65164,3304,2267,1,1,4,1
mdl/beacon/beacon_wire_ground_coils_04.rmdl,20636,1056,715,20636,1056,715,1,1,1,1
mdl/utilities/wires_ground_coils_01.rmdl,57152,2452,2122,33712,1572,1214,1,1,4,1
mdl/industrial/landing_mat_metal_02_large.rmdl,370040,13680,14398,297724,10994,11588,1,1,3,1
mdl/industrial/landing_mat_metal_03_large.rmdl,370040,13680,14398,297724,10994,11588,1,1,3,1
mdl/IMC_base/imc_fan_large_01.rmdl,3848,178,139,3848,178,139,1,1,1,1
mdl/beacon/beacon_wire_ground_coils_02.rmdl,20212,1032,701,20212,1032,701,1,1,1,1
mdl/beacon/mendoko_wire_ground_coils_02.rmdl,20212,1032,701,20212,1032,701,1,1,1,1
mdl/IMC_base/imc_portable_int_wall_pipe_128_01.rmdl,43888,1588,1718,23008,848,896,1,1,3,1
mdl/homestead/homestead_floor_panel_01.rmdl,36144,1084,1482,29060,930,1174,1,1,2,1
mdl/industrial/landing_mat_metal_02.rmdl,66200,2280,2626,49796,1766,1960,1,1,3,1
mdl/industrial/landing_mat_metal_03.rmdl,65832,2272,2610,49796,1766,1960,1,1,3,1
mdl/beacon/beacon_wire_cluster_07.rmdl,17100,960,567,17100,960,567,1,1,1,1
mdl/beacon/beacon_wire_ground_coils_03.rmdl,20424,1044,708,20424,1044,708,1,1,1,1
mdl/mendoko/mendoko_wire_ground_coils_03.rmdl,20424,1044,708,20424,1044,708,1,1,1,1
mdl/ola/sewer_railing_01_64.rmdl,79248,3168,3012,52320,2260,1938,1,1,3,1
mdl/industrial/tripod_cone_v1_high_on.rmdl,46476,1476,1881,21128,708,844,1,1,3,1
mdl/containers/slumcity_oxygen_tank_blue.rmdl,78358,2713,3104,42208,1528,1652,1,1,3,1
mdl/containers/slumcity_oxygen_tank_red.rmdl,78358,2713,3104,42208,1528,1652,1,1,3,1
mdl/imc_base/imc_portable_int_wall_pipe_64_01.rmdl,13488,488,528,8824,324,344,1,1,2,1
mdl/beacon/beacon_wire_cluster_03.rmdl,13236,736,441,13236,736,441,1,1,1,1
mdl/imc_base/imc_portable_int_wall_pipe_corner_01.rmdl,13244,544,499,13244,544,499,1,1,1,1
mdl/imc_base/imc_portable_int_wall_pipe_32_valve_01.rmdl,70536,2526,2769,32292,1182,1260,1,1,3,1
mdl/imc_base/imc_portable_int_wall_pipe_32_01.rmdl,34800,1240,1368,19440,720,756,1,1,3,1
mdl/beacon/beacon_wire_cluster_02.rmdl,23448,1328,774,23448,1328,774,1,1,1,1
