Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/pipes/pipe_modular_painted_yellow_256.rmdl,25296,824,848,12168,420,402,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_128.rmdl,36528,1128,1240,24096,768,812,1,1,3,1
mdl/industrial/zipline_arm.rmdl,156444,4278,5449,80028,2306,2758,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_64.rmdl,17304,532,588,8640,272,292,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_tjunk.rmdl,104112,3324,3507,52140,1702,1747,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_corner.rmdl,45528,1780,1452,26304,1040,836,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_04.rmdl,22944,720,776,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_16.rmdl,39168,1232,1324,19632,632,660,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_8.rmdl,23208,740,782,12480,400,420,1,1,4,1
mdl/thunderdome/survival_modular_flexscreens_04.rmdl,216,4,8,216,4,8,1,1,1,1
mdl/IMC_base/bldg_wall_support_IMC_01_half.rmdl,13858,563,524,13858,563,524,1,1,1,1
mdl/imc_interior/imc_int_fusebox_01.rmdl,11632,342,479,9936,306,405,1,1,2,1
mdl/IMC_base/conduit_bracket_IMC_04.rmdl,1728,68,66,1728,68,66,1,1,1,1
mdl/IMC_base/conduit_bracket_IMC_02.rmdl,2488,108,92,2488,108,92,1,1,1,1
mdl/utilities/wires_hanging_64.rmdl,25224,1156,762,25224,1156,762,1,1,1,1
mdl/industrial/landing_mat_metal_02_large.rmdl,370040,13680,14398,297724,10994,11588,1,1,3,1
mdl/industrial/landing_mat_metal_02.rmdl,66200,2280,2626,49796,1766,1960,1,1,3,1
mdl/IMC_base/conduit_str_64_IMC_01.rmdl,5008,168,200,2656,96,104,1,1,3,1
mdl/IMC_base/conduit_str_32_IMC_01.rmdl,11568,528,420,7504,384,260,1,1,3,1
mdl/IMC_base/conduit_str_16_IMC_02.rmdl,8008,408,278,7304,384,250,1,1,2,1
mdl/props/caustic_mug/caustic_mug.rmdl,8748,408,315,8748,408,315,1,1,1,1
mdl/IMC_base/conduit_bend_16_IMC_02.rmdl,6984,384,234,6984,384,234,1,1,1,1
mdl/IMC_base/conduit_start_IMC_01.rmdl,3104,144,112,3104,144,112,1,1,1,1
mdl/ola/sewer_grate_01.rmdl,33824,984,1396,17064,544,690,1,1,4,2
mdl/lamps/security_light_01_on.rmdl,69100,2470,2714,36296,1406,1393,1,1,3,1
mdl/industrial/security_fence_post.rmdl,12768,418,513,12768,418,513,1,1,1,1
mdl/IMC_base/imc_tech_panel_64_01.rmdl,20200,490,863,10688,268,454,1,1,5,1
mdl/IMC_base/imc_antenna_02.rmdl,11240,330,463,11240,330,463,1,1,1,1
mdl/ola/sewer_staircase_96_quad.rmdl,11728,248,512,11728,248,512,1,1,1,2
mdl/domestic/nessy_doll.rmdl,53076,2996,1755,35980,2070,1178,1,1,2,1
mdl/electricalboxes/fusebox_small_a.rmdl,3032,92,124,3032,92,124,1,1,1,1
mdl/rise/catwalk_hanging_wires_01.rmdl,23712,1272,804,23712,1272,804,1,1,1,3
mdl/menu/menu_cubemap.rmdl,52300,3120,1679,52300,3120,1679,1,1,1,1
mdl/thunderdome/thunderdome_screen_tower_arm_01.rmdl,32380,890,1352,14492,422,598,1,1,4,3
mdl/containers/underbelly_cargo_container_128_red_02.rmdl,47724,994,1740,46428,970,1692,1,1,2,2
mdl/containers/underbelly_cargo_container_128_blue_02.rmdl,48060,1002,1752,46764,978,1704,1,1,2,2
mdl/ola/sewer_grate_clamp_01_128.rmdl,7680,160,280,7680,160,280,1,1,1,2
mdl/weapons/projectiles/projectile_grapple_hook_anchor_bolt.rmdl,18252,662,714,18252,662,714,1,1,1,1
mdl/Gibs/wood_gib01e.rmdl,2744,64,118,2744,64,118,1,1,1,1
mdl/Gibs/wood_gib01d.rmdl,5892,142,252,5892,142,252,1,1,1,1
mdl/Gibs/wood_gib01c.rmdl,3276,66,144,3276,66,144,1,1,1,1
mdl/Gibs/wood_gib01b.rmdl,2868,58,126,2868,58,126,1,1,1,1
mdl/Gibs/wood_gib01a.rmdl,4412,112,187,4412,112,187,1,1,1,1
mdl/Gibs/Glass_shard01.rmdl,2864,84,118,2864,84,118,1,1,1,1
mdl/Gibs/Glass_shard02.rmdl,1400,40,58,1400,40,58,1,1,1,1
mdl/Gibs/Glass_shard03.rmdl,1688,48,70,1688,48,70,1,1,1,1
mdl/Gibs/Glass_shard04.rmdl,3088,88,128,3088,88,128,1,1,1,1
mdl/Gibs/Glass_shard05.rmdl,2120,60,88,2120,60,88,1,1,1,1
mdl/Gibs/Glass_shard06.rmdl,1212,32,51,1212,32,51,1,1,1,1
mdl/props_debris/concrete_chunk08a.rmdl,6040,340,200,6040,340,200,1,1,1,1
mdl/props_debris/concrete_chunk09a.rmdl,1492,72,53,1492,72,53,1,1,1,1
mdl/props_debris/concrete_chunk03a.rmdl,1044,34,42,1044,34,42,1,1,1,1
mdl/props_debris/concrete_chunk07a.rmdl,784,34,29,784,34,29,1,1,1,1
mdl/props_debris/concrete_chunk02a.rmdl,2996,116,115,1724,84,61,1,1,2,1
mdl/Gibs/metal_gib1.rmdl,1912,52,80,1912,52,80,1,1,1,1
mdl/Gibs/metal_gib2.rmdl,1128,28,48,1128,28,48,1,1,1,1
mdl/Gibs/metal_gib3.rmdl,1352,32,58,1352,32,58,1,1,1,1
mdl/Gibs/metal_gib4.rmdl,1464,44,60,1464,44,60,1,1,1,1
mdl/Gibs/metal_gib5.rmdl,1384,44,56,1384,44,56,1,1,1,1
mdl/dev/envballs.rmdl,30076,978,956,30076,978,956,1,1,1,6
mdl/props/zipline_balloon/zipline_balloon_base.rmdl,626580,19218,21303,336024,11016,11247,1,1,5,5
mdl/props/zipline_balloon/zipline_balloon.rmdl,86706,2631,2955,48138,1599,1606,1,1,3,4
mdl/weapons_r5/loot/w_loot_wep_iso_health_main_large.rmdl,67872,2462,2655,41600,1610,1597,1,1,3,1
mdl/weapons_r5/loot/w_loot_wep_iso_health_main_small.rmdl,18036,606,720,9912,372,384,1,1,3,1
mdl/weapons_r5/loot/w_loot_wep_iso_shield_battery_large.rmdl,90720,2814,2637,46012,1532,1315,1,1,4,2
mdl/weapons_r5/loot/w_loot_wep_iso_shield_battery_small.rmdl,75952,2238,2233,39856,1276,1150,1,1,4,2
mdl/weapons_r5/loot/w_loot_wep_iso_phoenix_kit_v1.rmdl,90720,2814,2637,46012,1532,1315,1,1,4,2
mdl/fx/plasma_sphere_01.rmdl,14568,760,417,14568,760,417,1,1,1,1
mdl/fx/ar_edge_sphere_512.rmdl,125848,5460,2909,125848,5460,2909,1,1,1,1
mdl/IMC_base/camera_imc_base_01.rmdl,5440,140,230,5440,140,230,1,1,1,1
mdl/IMC_base/camera_imc_01.rmdl,131856,4266,5313,65992,2302,2609,1,1,3,1
mdl/robots/drone_frag/drone_frag_loot.rmdl,945960,28986,27573,443396,15118,12596,1,37,4,1
mdl/dev/editor_ref.rmdl,1104,24,48,1104,24,48,1,1,1,1
mdl/Humans/class/medium/combat_dummie_medium.rmdl,893220,32922,24846,893220,32922,24846,1,69,1,3
mdl/fx/ar_survival_radius_1x100.rmdl,48376,2052,1442,48376,2052,1442,1,1,1,3
mdl/props/charm/charm_fireball.rmdl,74580,2490,2130,74580,2490,2130,1,5,1,1
mdl/props/charm/charm_yeti.rmdl,60920,2542,1631,60920,2542,1631,1,5,1,1
mdl/props/charm/charm_crow.rmdl,75304,2214,2215,75304,2214,2215,1,5,1,1
mdl/props/charm/charm_rank_gold.rmdl,92700,2542,2766,92700,2542,2766,1,5,1,1
mdl/props/charm/charm_rank_diamond.rmdl,118948,2852,3637,118948,2852,3637,1,5,1,1
mdl/props/charm/charm_rank_predator.rmdl,79924,2312,2359,79924,2312,2359,1,5,1,1
