Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/foliage/plant_tobacco_large_02.rmdl,12632,542,469,12632,542,469,1,1,1,1
mdl/pipes/pipe_modular_painted_yellow_128.rmdl,36528,1128,1240,24096,768,812,1,1,3,1
mdl/industrial/zipline_arm.rmdl,156444,4278,5449,80028,2306,2758,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_64.rmdl,17304,532,588,8640,272,292,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_corner.rmdl,39816,1560,1269,26304,1040,836,1,1,3,1
mdl/pipes/pipe_modular_painted_grey_32_03.rmdl,47364,1510,1596,22464,720,756,1,1,3,1
mdl/pipes/pipe_modular_painted_grey_32_04.rmdl,19056,600,644,12480,400,420,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_32_03.rmdl,56436,1790,1904,22464,720,756,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_04.rmdl,22944,720,776,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_16.rmdl,39168,1232,1324,19632,632,660,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_8.rmdl,23208,740,782,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_8.rmdl,22440,716,756,12480,400,420,1,1,3,1
mdl/thunderdome/survival_modular_flexscreens_04.rmdl,216,4,8,216,4,8,1,1,1,1
mdl/relic/relic_yellow_wire_128_02.rmdl,4320,240,144,4320,240,144,1,1,1,1
mdl/IMC_base/imc_tech_smallfan_32_06.rmdl,34264,1164,1364,15668,538,622,1,1,5,1
mdl/IMC_base/chair_IMC_02.rmdl,51224,1474,2119,29992,892,1232,1,1,2,1
mdl/desertlands/desertlands_lobby_mailbox_03.rmdl,8156,256,331,6740,220,271,1,1,2,1
mdl/relic/relic_yellow_wire_128_01.rmdl,2940,160,99,2940,160,99,1,1,1,1
mdl/IMC_base/ladder_modular_64_IMC.rmdl,29464,1264,1094,29464,1264,1094,1,1,1,1
mdl/domestic/floor_mat_black_01.rmdl,828,18,36,828,18,36,1,1,1,1
mdl/containers/box_med_cardboard_01.rmdl,1648,48,68,1096,36,44,1,1,2,1
mdl/utilities/ceiling_vent_metal.rmdl,4772,142,196,3484,114,140,1,1,3,1
mdl/signs/sign_caution_chemical.rmdl,2036,46,88,1128,28,48,1,1,3,1
mdl/electricalboxes/fusebox.rmdl,7264,224,296,4592,152,184,1,1,3,1
mdl/utilities/wall_Waterpipe.rmdl,86140,2860,3449,39976,1386,1583,1,1,4,1
mdl/colony/dirty_plate_pile_02.rmdl,14688,588,558,7344,324,270,1,1,3,1
mdl/signs/sign_service_shaft_01.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/signs/sign_service_shaft_02.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/imc_interior/imc_int_fusebox_01.rmdl,11632,342,479,9936,306,405,1,1,2,1
mdl/furniture/office_laptop.rmdl,12064,284,518,6456,156,276,1,1,3,1
mdl/domestic/terracotta_pot_small.rmdl,6540,240,255,6540,240,255,1,1,1,1
mdl/signs/sign_caution_walkway_01.rmdl,1976,46,85,1128,28,48,1,1,3,1
mdl/colony/dirty_bowl_single.rmdl,15676,806,542,9492,592,297,1,1,3,1
mdl/desertlands/desertlands_napkin_holder_01.rmdl,21698,723,868,13710,485,540,1,1,3,2
mdl/industrial/bottle_wine.rmdl,5200,190,203,5200,190,203,1,1,1,1
mdl/IMC_base/ladder_modular_cap_IMC.rmdl,2768,108,106,2768,108,106,1,1,1,1
mdl/IMC_base/conduit_bracket_IMC_04.rmdl,1728,68,66,1728,68,66,1,1,1,1
mdl/domestic/plastic_cup_small_01.rmdl,2624,94,103,2624,94,103,1,1,1,1
mdl/IMC_base/conduit_bracket_IMC_02.rmdl,2488,108,92,2488,108,92,1,1,1,1
mdl/domestic/mug_coffee_white.rmdl,3824,154,145,3824,154,145,1,1,1,1
mdl/containers/can_blue_soda.rmdl,10744,354,431,4428,168,171,1,1,4,1
mdl/utilities/wires_hanging_64.rmdl,25224,1156,762,25224,1156,762,1,1,1,1
mdl/colony/farmland_crate_plastic_01_red.rmdl,27732,994,907,21948,846,703,1,1,2,1
mdl/colony/farmland_crate_plastic_yellow_01.rmdl,17508,674,561,14292,586,449,1,1,2,1
mdl/desertlands/desertlands_ceiling_vent_01.rmdl,21762,671,739,13488,456,448,1,1,3,1
mdl/beacon/generator_fan_house_cap_01.rmdl,31032,792,1095,19614,521,687,1,1,3,1
mdl/haven/haven_bamboo_tree_02.rmdl,19172,652,763,12496,446,491,1,1,2,1
mdl/domestic/papers_ground01.rmdl,2256,76,90,2256,76,90,1,1,1,1
mdl/domestic/magazine_pile_01.rmdl,4864,144,200,4864,144,200,1,1,1,1
mdl/foliage/tree_green_forest_med_01.rmdl,134244,3590,4696,64248,1940,2192,1,1,4,2
mdl/foliage/bush_green_forest_01.rmdl,86646,2273,3042,59184,1528,2084,1,1,4,1
mdl/foliage/grass_desert_01.rmdl,4980,134,174,4980,134,174,1,1,1,1
mdl/foliage/icelandic_moss_grass_01.rmdl,7084,154,308,4692,102,204,1,1,2,1
mdl/foliage/icelandic_ground_plant_02.rmdl,368,8,16,368,8,16,1,1,1,1
mdl/beacon/construction_plastic_mat_white_01.rmdl,27756,1376,975,16164,844,555,1,1,4,2
mdl/utilities/power_gen1.rmdl,298752,10952,11652,146864,5644,5650,1,1,5,1
mdl/IMC_base/imc_fan_large_case_01_short.rmdl,93362,4377,3355,65164,3304,2267,1,1,4,1
mdl/beacon/beacon_wire_ground_coils_04.rmdl,20636,1056,715,20636,1056,715,1,1,1,1
mdl/beacon/mendoko_wires_ground_coils_01.rmdl,33712,1572,1214,33712,1572,1214,1,1,1,1
mdl/industrial/landing_mat_metal_03_large.rmdl,370040,13680,14398,297724,10994,11588,1,1,3,1
mdl/utilities/wire_ceiling_mounts_straight.rmdl,70916,2196,2887,36656,1196,1474,1,1,3,1
mdl/ola/sewer_railing_01_corner_in.rmdl,148368,6108,5586,98076,4376,3591,1,1,3,1
mdl/ola/sewer_railing_01_corner_out.rmdl,148368,6108,5586,98076,4376,3591,1,1,3,1
mdl/ola/sewer_railing_01_128.rmdl,99592,3912,3806,65152,2752,2432,1,1,3,1
mdl/beacon/beacon_wire_ground_coils_02.rmdl,20212,1032,701,20212,1032,701,1,1,1,1
mdl/beacon/mendoko_wire_ground_coils_02.rmdl,20212,1032,701,20212,1032,701,1,1,1,1
mdl/industrial/landing_mat_metal_03.rmdl,65832,2272,2610,49796,1766,1960,1,1,3,1
mdl/beacon/mendoko_wire_cluster_07.rmdl,17100,960,567,17100,960,567,1,1,1,1
mdl/beacon/beacon_wire_ground_coils_03.rmdl,20424,1044,708,20424,1044,708,1,1,1,1
mdl/mendoko/mendoko_wire_ground_coils_03.rmdl,20424,1044,708,20424,1044,708,1,1,1,1
mdl/ola/sewer_railing_01_64.rmdl,79248,3168,3012,52320,2260,1938,1,1,3,1
mdl/beacon/modular_hose_yellow_128_bend_01.rmdl,11740,490,440,6460,280,239,1,1,3,1
mdl/industrial/tripod_cone_v1_high_on.rmdl,46476,1476,1881,21128,708,844,1,1,3,1
mdl/containers/slumcity_oxygen_tank_blue.rmdl,78358,2713,3104,42208,1528,1652,1,1,3,1
mdl/beacon/modular_hose_yellow_128_01.rmdl,17600,840,628,9740,480,343,1,1,3,1
mdl/imc_base/imc_portable_int_wall_pipe_64_01.rmdl,13488,488,528,8824,324,344,1,1,2,1
mdl/beacon/beacon_wire_cluster_03.rmdl,13236,736,441,13236,736,441,1,1,1,1
mdl/mendoko/mendoko_monitor_03.rmdl,11488,328,476,11488,328,476,1,1,1,1
mdl/ola/sewer_railing_01_32.rmdl,62656,2576,2360,41856,1876,1530,1,1,3,1
