Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/industrial/zipline_arm.rmdl,156444,4278,5449,80028,2306,2758,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_04.rmdl,22944,720,776,12480,400,420,1,1,4,1
mdl/thunderdome/survival_modular_flexscreens_04.rmdl,216,4,8,216,4,8,1,1,1,1
mdl/angel_city/box_small_01.rmdl,3436,136,131,2780,120,103,1,1,2,1
mdl/furniture/office_laptop.rmdl,12064,284,518,6456,156,276,1,1,3,1
mdl/industrial/landing_mat_metal_03_large.rmdl,370040,13680,14398,297724,10994,11588,1,1,3,1
mdl/furniture/office_chair_leather.rmdl,48028,1718,1886,19800,760,762,1,1,3,1
mdl/props/caustic_mug/caustic_mug.rmdl,8748,408,315,8748,408,315,1,1,1,1
mdl/colony/farmland_crate_md_80x64x72_02.rmdl,19988,918,724,13472,682,469,1,1,3,1
mdl/colony/farmland_crate_md_80x64x72_03.rmdl,29488,1348,1070,17496,916,600,1,1,4,1
mdl/industrial/security_fence_post.rmdl,12768,418,513,12768,418,513,1,1,1,1
mdl/industrial/electrical_box_green.rmdl,9360,220,402,9360,220,402,1,1,1,1
mdl/desertlands/industrial_cargo_container_large_01.rmdl,137960,3880,5734,56272,1622,2327,1,1,5,3
mdl/containers/container_medium_tanks_blue.rmdl,152082,5617,5919,83340,3270,3186,1,1,4,1
mdl/domestic/nessy_doll.rmdl,53076,2996,1755,35980,2070,1178,1,1,2,1
mdl/desertlands/industrial_cargo_container_320_01.rmdl,114828,2998,4842,65272,1752,2738,1,1,4,3
mdl/desertlands/industrial_crane_yellow_01_c.rmdl,401544,10604,14080,209520,6000,7230,1,1,4,7
mdl/desertlands/industrial_crane_yellow_01_b.rmdl,131790,3377,4647,59112,1592,2065,1,1,4,6
mdl/containers/underbelly_cargo_container_128_blue_01.rmdl,49284,1070,1786,47988,1046,1738,1,1,2,2
mdl/eden/eden_electrical_transformer_01.rmdl,179928,5064,6231,109920,3136,3796,1,1,3,2
mdl/weapons/projectiles/projectile_grapple_hook_anchor_bolt.rmdl,18252,662,714,18252,662,714,1,1,1,1
mdl/Gibs/wood_gib01e.rmdl,2744,64,118,2744,64,118,1,1,1,1
mdl/Gibs/wood_gib01d.rmdl,5892,142,252,5892,142,252,1,1,1,1
mdl/Gibs/wood_gib01c.rmdl,3276,66,144,3276,66,144,1,1,1,1
mdl/Gibs/wood_gib01b.rmdl,2868,58,126,2868,58,126,1,1,1,1
mdl/Gibs/wood_gib01a.rmdl,4412,112,187,4412,112,187,1,1,1,1
mdl/Gibs/Glass_shard01.rmdl,2864,84,118,2864,84,118,1,1,1,1
mdl/Gibs/Glass_shard02.rmdl,1400,40,58,1400,40,58,1,1,1,1
mdl/Gibs/Glass_shard03.rmdl,1688,48,70,1688,48,70,1,1,1,1
mdl/Gibs/Glass_shard04.rmdl,3088,88,128,3088,88,128,1,1,1,1
mdl/Gibs/Glass_shard05.rmdl,2120,60,88,2120,60,88,1,1,1,1
mdl/Gibs/Glass_shard06.rmdl,1212,32,51,1212,32,51,1,1,1,1
mdl/props_debris/concrete_chunk08a.rmdl,6040,340,200,6040,340,200,1,1,1,1
mdl/props_debris/concrete_chunk09a.rmdl,1492,72,53,1492,72,53,1,1,1,1
mdl/props_debris/concrete_chunk03a.rmdl,1044,34,42,1044,34,42,1,1,1,1
mdl/props_debris/concrete_chunk07a.rmdl,784,34,29,784,34,29,1,1,1,1
mdl/props_debris/concrete_chunk02a.rmdl,2996,116,115,1724,84,61,1,1,2,1
mdl/Gibs/metal_gib1.rmdl,1912,52,80,1912,52,80,1,1,1,1
mdl/Gibs/metal_gib2.rmdl,1128,28,48,1128,28,48,1,1,1,1
mdl/Gibs/metal_gib3.rmdl,1352,32,58,1352,32,58,1,1,1,1
mdl/Gibs/metal_gib4.rmdl,1464,44,60,1464,44,60,1,1,1,1
mdl/Gibs/metal_gib5.rmdl,1384,44,56,1384,44,56,1,1,1,1
mdl/dev/envballs.rmdl,30076,978,956,30076,978,956,1,1,1,6
mdl/props/zipline_balloon/zipline_balloon_base.rmdl,626580,19218,21303,336024,11016,11247,1,1,5,5
mdl/props/zipline_balloon/zipline_balloon.rmdl,86706,2631,2955,48138,1599,1606,1,1,3,4
mdl/weapons_r5/loot/w_loot_wep_iso_health_main_large.rmdl,67872,2462,2655,41600,1610,1597,1,1,3,1
mdl/weapons_r5/loot/w_loot_wep_iso_health_main_small.rmdl,18036,606,720,9912,372,384,1,1,3,1
mdl/weapons_r5/loot/w_loot_wep_iso_shield_battery_large.rmdl,90720,2814,2637,46012,1532,1315,1,1,4,2
mdl/weapons_r5/loot/w_loot_wep_iso_shield_battery_small.rmdl,75952,2238,2233,39856,1276,1150,1,1,4,2
mdl/weapons_r5/loot/w_loot_wep_iso_phoenix_kit_v1.rmdl,90720,2814,2637,46012,1532,1315,1,1,4,2
mdl/fx/plasma_sphere_01.rmdl,14568,760,417,14568,760,417,1,1,1,1
mdl/fx/ar_edge_sphere_512.rmdl,125848,5460,2909,125848,5460,2909,1,1,1,1
mdl/IMC_base/camera_imc_base_01.rmdl,5440,140,230,5440,140,230,1,1,1,1
mdl/IMC_base/camera_imc_01.rmdl,131856,4266,5313,65992,2302,2609,1,1,3,1
mdl/robots/drone_frag/drone_frag_loot.rmdl,0,0,0,0,0,0,1,37,0,0
mdl/dev/editor_ref.rmdl,1104,24,48,1104,24,48,1,1,1,1
mdl/Humans/class/medium/combat_dummie_medium.rmdl,0,0,0,0,0,0,1,69,0,0
mdl/fx/ar_survival_radius_1x100.rmdl,48376,2052,1442,48376,2052,1442,1,1,1,3
mdl/props/charm/charm_fireball.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_yeti.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_crow.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_rank_gold.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_rank_diamond.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_rank_predator.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_nessy.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_lifeline_drone.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_rank_platinum.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_pumpkin.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_gas_canister.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_jester.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_nessy_ghost.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_clown.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/props/charm/charm_witch.rmdl,0,0,0,0,0,0,1,5,0,0
mdl/robots/drone_frag/drone_frag.rmdl,0,0,0,0,0,0,1,26,0,0
mdl/vehicle/droppod_fireteam/droppod_fireteam.rmdl,0,0,0,0,0,0,1,55,0,0
mdl/vehicle/droppod_loot/droppod_loot_LL_holo.rmdl,30554,591,844,30554,591,844,1,1,1,1
mdl/robots/marvin/marvin_gladcard.rmdl,0,0,0,0,0,0,4,94,0,0
mdl/menu/xp_badge.rmdl,8728,308,344,8728,308,344,1,1,1,1
mdl/menu/coin.rmdl,3448,128,134,3448,128,134,1,1,1,1
mdl/currency/crafting/currency_crafting_epic.rmdl,113224,2684,4856,113224,2684,4856,1,1,1,1
mdl/weapons_r5/loot/_master/w_loot_wep_ammo_sniper.rmdl,35244,850,942,23384,596,619,1,1,3,1
mdl/robots/marvin/marvin.rmdl,0,0,0,0,0,0,4,56,0,0
mdl/weapons/empty_handed/ptpov_emptyhand.rmdl,104232,3596,2952,104232,3596,2952,1,99,1,2
mdl/weapons/empty_handed/w_empty_handed_human.rmdl,0,0,0,0,0,0,1,10,0,0
mdl/Weapons/ptpov_energy_sword/ptpov_energy_sword.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
