Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/foliage/ivy_green_05.rmdl,10926,371,435,5562,197,219,1,1,3,1
mdl/foliage/ivy_green_02.rmdl,5458,203,212,3242,127,124,1,1,3,1
mdl/foliage/ivy_green_03.rmdl,7004,254,274,4336,156,170,1,1,3,1
mdl/ola/sewer_wires_02.rmdl,74088,3668,2604,46928,2448,1612,1,1,4,1
mdl/ola/sewer_wires_01.rmdl,73756,3656,2591,46928,2448,1612,1,1,4,1
mdl/containers/plastic_pallet_01.rmdl,23136,776,924,16108,578,632,1,1,3,1
mdl/containers/plastic_pallet_02.rmdl,23136,776,924,16108,578,632,1,1,3,1
mdl/angel_city/ground_pile_trash_01.rmdl,1446,37,51,1446,37,51,1,1,1,1
mdl/angel_city/ground_pile_trash_03.rmdl,1140,26,41,1140,26,41,1,1,1,1
mdl/pipes/pipe_modular_painted_grey_256.rmdl,21312,704,712,12168,420,402,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_256.rmdl,25296,824,848,12168,420,402,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_128.rmdl,36528,1128,1240,24096,768,812,1,1,3,1
mdl/pipes/pipe_modular_painted_red_128.rmdl,36528,1128,1240,24096,768,812,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_128.rmdl,36528,1128,1240,24096,768,812,1,1,3,1
mdl/industrial/zipline_arm.rmdl,156444,4278,5449,80028,2306,2758,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_64.rmdl,14712,452,500,8640,272,292,1,1,3,1
mdl/pipes/pipe_modular_painted_red_64.rmdl,17304,532,588,8640,272,292,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_64.rmdl,17304,532,588,8640,272,292,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_red_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_valve.rmdl,93324,2878,3169,48840,1556,1646,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_32_tjunk.rmdl,104112,3324,3507,52140,1702,1747,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_tjunk.rmdl,104112,3324,3507,52140,1702,1747,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_corner.rmdl,39816,1560,1269,26304,1040,836,1,1,3,1
mdl/pipes/pipe_modular_painted_red_corner.rmdl,45528,1780,1452,26304,1040,836,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_corner.rmdl,45528,1780,1452,26304,1040,836,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_32_03.rmdl,47364,1510,1596,22464,720,756,1,1,3,1
mdl/pipes/pipe_modular_painted_grey_32.rmdl,33624,1060,1136,22464,720,756,1,1,3,1
mdl/pipes/pipe_modular_painted_grey_32_02.rmdl,43068,1370,1452,22464,720,756,1,1,3,1
mdl/pipes/pipe_modular_painted_grey_32_04.rmdl,19056,600,644,12480,400,420,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_32_03.rmdl,56436,1790,1904,22464,720,756,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32.rmdl,37512,1180,1268,22464,720,756,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_32_04.rmdl,22944,720,776,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_16.rmdl,34104,1084,1150,19632,632,660,1,1,3,1
mdl/pipes/pipe_modular_painted_yellow_16.rmdl,39168,1232,1324,19632,632,660,1,1,4,1
mdl/pipes/pipe_modular_painted_yellow_8.rmdl,23208,740,782,12480,400,420,1,1,4,1
mdl/pipes/pipe_modular_painted_grey_8.rmdl,22440,716,756,12480,400,420,1,1,3,1
mdl/pipes/pipe_modular_painted_red_8.rmdl,23208,740,782,12480,400,420,1,1,4,1
mdl/IMC_base/imc_portable_ext_double_door_frame_red_01.rmdl,5536,176,224,5536,176,224,1,1,1,1
mdl/IMC_base/imc_portable_ext_single_door_frame_red_01.rmdl,5536,176,224,5536,176,224,1,1,1,1
mdl/utilities/wire_hanging_cluster_03.rmdl,12560,560,460,12560,560,460,1,1,1,2
mdl/levels_terrain/mp_rr_canyonlands/military_bridge_cable_stopper_01.rmdl,10976,356,442,5856,216,228,1,1,4,2
mdl/thunderdome/survival_modular_flexscreens_04.rmdl,216,4,8,216,4,8,1,1,1,1
mdl/desertlands/industrial_metal_frame_256x144_02.rmdl,65528,1668,2776,36288,968,1524,1,1,3,2
mdl/desertlands/industrial_metal_frame_256x144_01.rmdl,39284,994,1666,21124,554,890,1,1,3,2
mdl/desertlands/industrial_metal_arm_support_02.rmdl,28680,820,1188,14424,444,588,1,1,3,1
mdl/utilities/power_cell_64.rmdl,547988,17238,22228,283556,9746,11254,1,1,4,1
mdl/desertlands/industrial_metal_arm_support_01.rmdl,2954,69,127,2072,52,88,1,1,2,1
mdl/IMC_base/bldg_wall_support_IMC_01_half.rmdl,13858,563,524,13858,563,524,1,1,1,1
mdl/containers/pelican_case_large.rmdl,151616,4916,6106,67298,2233,2695,1,1,5,1
mdl/containers/pelican_case_large_drabgreen.rmdl,151616,4916,6106,67298,2233,2695,1,1,5,1
mdl/relic/relic_yellow_wire_128_02.rmdl,4320,240,144,4320,240,144,1,1,1,1
mdl/industrial/metal_floor_panels_frame.rmdl,2304,64,96,2304,64,96,1,1,1,1
mdl/IMC_base/imc_tech_smallfan_32_06.rmdl,34264,1164,1364,15668,538,622,1,1,5,1
mdl/IMC_base/chair_IMC_02.rmdl,51224,1474,2119,29992,892,1232,1,1,2,1
mdl/colony/box_cardboard_flat_01.rmdl,3184,84,134,2632,72,110,1,1,2,1
mdl/angel_city/box_small_01.rmdl,3436,136,131,2780,120,103,1,1,2,1
mdl/containers/box_med_cardboard_02.rmdl,4096,96,176,2440,60,104,1,1,3,1
mdl/relic/relic_yellow_wire_128_01.rmdl,2940,160,99,2940,160,99,1,1,1,1
mdl/IMC_base/ladder_modular_64_IMC.rmdl,29464,1264,1094,29464,1264,1094,1,1,1,1
mdl/utilities/power_cell_64_single_01.rmdl,32150,1115,1273,19620,750,756,1,1,4,1
mdl/containers/box_med_cardboard_01.rmdl,1648,48,68,1096,36,44,1,1,2,1
mdl/garbage/garbage_bag_plastic_a.rmdl,7900,310,302,4856,196,184,1,1,2,1
mdl/utilities/ceiling_vent_metal.rmdl,4772,142,196,3484,114,140,1,1,3,1
mdl/domestic/wooden_bowl.rmdl,8200,410,287,4720,240,164,1,1,3,1
mdl/domestic/fire_extinguisher_case.rmdl,21380,750,844,21380,750,844,1,1,1,2
mdl/domestic/farmland_bedding_pillow_01.rmdl,9864,574,321,9864,574,321,1,1,1,1
mdl/signs/sign_caution_chemical.rmdl,2036,46,88,1128,28,48,1,1,3,1
mdl/electricalboxes/fusebox.rmdl,7264,224,296,4592,152,184,1,1,3,1
mdl/utilities/wall_Waterpipe.rmdl,86140,2860,3449,39976,1386,1583,1,1,4,1
mdl/industrial/modular_railing_trim_long.rmdl,38380,1430,1490,17120,660,658,1,1,3,1
mdl/IMC_base/garage_support_wall_IMC_01.rmdl,11972,412,475,11972,412,475,1,1,1,1
mdl/colony/dirty_plate_pile_02.rmdl,14688,588,558,7344,324,270,1,1,3,1
mdl/domestic/towels_wrinkled_04.rmdl,5384,204,208,2264,84,88,1,1,3,1
mdl/signs/sign_service_shaft_01.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/signs/sign_service_shaft_02.rmdl,1896,46,81,1128,28,48,1,1,3,1
mdl/imc_interior/imc_int_fusebox_01.rmdl,11632,342,479,9936,306,405,1,1,2,1
mdl/industrial/modular_railing_trim_mid.rmdl,20370,755,792,9140,350,352,1,1,3,1
mdl/industrial/air_duct_bracket_01.rmdl,2664,74,111,2664,74,111,1,1,1,1
mdl/colony/dirty_bowl_single.rmdl,15676,806,542,9492,592,297,1,1,3,1
mdl/industrial/modular_railing_trim_short.rmdl,20370,755,792,9140,350,352,1,1,3,1
