Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/levels_terrain/mp_rr_olympus/olympus_overall_shape_mu1.rmdl,65712,2400,2138,65712,2400,2138,1,1,1,1
mdl/olympus/olympus_house_deco_01.rmdl,28520,620,1240,15456,336,672,1,1,4,1
mdl/levels_terrain/mp_rr_olympus/zone_6_gazebo.rmdl,304992,8632,10550,156636,4774,5333,1,1,4,8
mdl/foliage/tree_cherry_blossom_large_01_anim.rmdl,588750,17045,20270,242394,7679,8180,1,1,4,2
mdl/foliage/tree_banana_large_02.rmdl,56674,2439,2102,31528,1448,1142,1,1,3,1
mdl/foliage/plant_E_ear_holy1.rmdl,10392,252,444,10392,252,444,1,1,1,1
mdl/foliage/ivy_green_01.rmdl,18102,667,705,11714,449,451,1,1,3,1
mdl/foliage/ivy_green_05.rmdl,10926,371,435,5562,197,219,1,1,3,1
mdl/foliage/ivy_green_04.rmdl,3998,143,157,2580,100,99,1,1,3,1
mdl/foliage/ivy_green_02.rmdl,5458,203,212,3242,127,124,1,1,3,1
mdl/foliage/ivy_green_03.rmdl,7004,254,274,4336,156,170,1,1,3,1
mdl/ola/sewer_wires_02.rmdl,74088,3668,2604,46928,2448,1612,1,1,4,1
mdl/ola/sewer_wires_01.rmdl,73756,3656,2591,46928,2448,1612,1,1,4,1
mdl/foliage/lilypad_cluster_04.rmdl,4512,172,174,4512,172,174,1,1,1,1
mdl/foliage/plant_tropical_red_large_01.rmdl,102148,4138,3866,66432,2982,2427,1,1,4,1
mdl/foliage/plant_tropical_red_large_04.rmdl,26304,954,1029,14268,578,540,1,1,4,1
mdl/haven/plant_tropical_small_dark_01.rmdl,41242,1827,1514,27248,1278,979,1,1,3,1
mdl/foliage/brute_wild_green_plant_02.rmdl,17186,561,691,17186,561,691,1,1,1,1
mdl/foliage/plant_tobacco_large_02.rmdl,12632,542,469,12632,542,469,1,1,1,1
mdl/containers/plastic_pallet_01.rmdl,23136,776,924,16108,578,632,1,1,3,1
mdl/containers/plastic_pallet_02.rmdl,23136,776,924,16108,578,632,1,1,3,1
mdl/domestic/fruit_banana.rmdl,8880,360,336,8880,360,336,1,1,1,1
mdl/utilities/wire_hanging_cluster_02.rmdl,46880,2080,1720,46880,2080,1720,1,1,1,2
mdl/foliage/bush_green_forest_01_red.rmdl,112776,3016,3945,71568,1884,2511,1,1,4,2
mdl/levels_terrain/sp_cloud_city/underbelly_tarps_large_01.rmdl,7248,272,234,7248,272,234,1,1,1,1
mdl/foliage/olympus_moss_grass_04.rmdl,241164,10962,7308,138600,6300,4200,1,1,3,1
mdl/foliage/olympus_moss_grass_tall_04.rmdl,241164,10962,7308,138600,6300,4200,1,1,3,1
mdl/foliage/olympus_purple_grass_04.rmdl,197316,3654,7308,113400,2100,4200,1,1,3,1
mdl/foliage/olympus_moss_grass_02.rmdl,34452,1566,1044,19800,900,600,1,1,3,1
mdl/foliage/olympus_moss_grass_tall_02.rmdl,34452,1566,1044,19800,900,600,1,1,3,1
mdl/foliage/olympus_purple_grass_02.rmdl,28188,522,1044,16200,300,600,1,1,3,1
mdl/foliage/olympus_moss_grass_tall_01.rmdl,10164,462,308,6732,306,204,1,1,2,1
mdl/foliage/olympus_moss_grass_01.rmdl,10164,462,308,6732,306,204,1,1,2,1
mdl/foliage/olympus_purple_grass_01.rmdl,8316,154,308,5508,102,204,1,1,2,1
mdl/foliage/olympus_moss_grass_tall_03.rmdl,2508,114,76,2508,114,76,1,1,1,1
mdl/foliage/olympus_moss_grass_03.rmdl,3168,144,96,3168,144,96,1,1,1,1
mdl/foliage/olympus_purple_grass_03.rmdl,2592,48,96,2592,48,96,1,1,1,1
mdl/foliage/olympus_moss_grass_05.rmdl,1296,72,36,1296,72,36,1,1,1,1
mdl/levels_terrain/mp_rr_olympus/olympus_patt_tt_banner_01.rmdl,5208,256,153,5208,256,153,1,1,1,1
mdl/levels_terrain/mp_rr_olympus/olympus_patt_tt_banner_02.rmdl,5208,256,153,5208,256,153,1,1,1,1
mdl/foliage/tree_green_forest_med_01_anim.rmdl,141318,3549,5001,65040,1960,2220,1,1,5,2
mdl/foliage/grassblades_olympus_03_anim.rmdl,9408,296,318,6480,204,219,1,1,2,1
mdl/olympus/olympus_farms_verticalplanter_01_plants_purple.rmdl,212148,5470,7472,169404,4922,5828,1,1,2,1
mdl/olympus/olympus_farms_ground_leaves_03.rmdl,16164,398,574,13932,354,492,1,1,2,1
mdl/olympus/olympus_farms_shelf_bay_rack_01_plants.rmdl,97680,2180,3525,82938,1991,2958,1,1,2,1
mdl/olympus/olympus_farms_planter_256_01_plants.rmdl,99690,2071,3636,88926,1933,3222,1,1,2,1
mdl/olympus/olympus_farms_ground_leaves_02.rmdl,5430,133,193,4752,120,168,1,1,2,1
mdl/olympus/olympus_farms_ground_leaves_01.rmdl,5352,132,190,4644,118,164,1,1,2,1
mdl/olympus/olympus_farms_plant_picked_crate_01.rmdl,40872,1436,1344,35424,1320,1146,1,1,2,1
mdl/olympus/olympus_farms_plant_group_01.rmdl,40512,1072,1420,33726,953,1167,1,1,2,1
mdl/olympus/olympus_farms_plant_tomato_01.rmdl,32796,1006,1115,28098,895,947,1,1,2,1
mdl/olympus/olympus_farms_plant_picked_02.rmdl,50532,2082,1585,47856,2024,1488,1,1,2,1
mdl/olympus/olympus_farms_lettuce_picked_01_orange.rmdl,11544,352,393,7176,236,240,1,1,2,1
mdl/olympus/olympus_farms_lettuce_picked_01_purple.rmdl,11544,352,393,7176,236,240,1,1,2,1
mdl/foliage/ivy_orange_02.rmdl,392628,10190,13812,166302,4769,5737,1,1,5,1
mdl/foliage/grassblades_water_dark_03.rmdl,6480,204,219,6480,204,219,1,1,1,1
mdl/angel_city/ground_pile_trash_01.rmdl,1446,37,51,1446,37,51,1,1,1,1
mdl/foliage/leaves_ground_cherry_blossom_spread_02.rmdl,8790,221,311,8790,221,311,1,1,1,1
mdl/foliage/leaves_ground_cherry_blossom_spread_01.rmdl,4752,120,168,4752,120,168,1,1,1,1
mdl/angel_city/ground_pile_trash_03.rmdl,1140,26,41,1140,26,41,1,1,1,1
mdl/olympus/tarp_test_02.rmdl,2922,111,94,2922,111,94,1,1,1,2
mdl/olympus/portal_platform_lab_base_01.rmdl,42144,1376,1412,31008,1024,1036,1,1,3,1
mdl/olympus/olympus_docks_frame_1408x60_end_01.rmdl,71268,1958,2480,45984,1312,1588,1,1,2,1
mdl/olympus/olympus_docks_frame_1408x60_01.rmdl,42324,1270,1446,42324,1270,1446,1,1,1,1
mdl/olympus/olympus_farms_silo_brace_01.rmdl,540,10,20,540,10,20,1,1,1,2
mdl/olympus/olympus_docks_frame_704x60_01.rmdl,33306,919,1158,21558,617,744,1,1,2,1
mdl/levels_terrain/mp_rr_olympus/olympus_ship_prop_01.rmdl,12240,344,424,8040,236,276,1,1,2,1
mdl/olympus/olympus_docks_gate_sign_01.rmdl,5220,126,186,5220,126,186,1,1,1,1
mdl/levels_terrain/sp_cloud_city/underbelly_counter_weight_bottom_cap_cheap.rmdl,1356,34,48,1356,34,48,1,1,1,1
mdl/levels_terrain/mp_rr_olympus/olympus_mountain_metal_bar_01.rmdl,2184,44,80,2184,44,80,1,1,1,1
mdl/olympus/olympus_farms_silo_support_pipes_01.rmdl,7200,288,228,4872,208,151,1,1,2,1
mdl/olympus/olympus_docks_frame_1408x60_connector_01.rmdl,8136,204,288,8136,204,288,1,1,1,1
mdl/levels_terrain/mp_rr_olympus/olympus_mountain_metal_bolt_03.rmdl,6912,144,252,5928,124,216,1,1,2,1
mdl/olympus/olympus_mountain_frame_01.rmdl,34896,664,1288,20520,396,756,1,1,3,1
mdl/olympus/olympus_mountain_frame_02.rmdl,26976,752,936,16824,476,582,1,1,3,1
mdl/olympus/portal_bracket_small_01.rmdl,5928,124,216,5928,124,216,1,1,1,1
mdl/olympus/olympus_docks_cargoframe_top_01.rmdl,13560,356,476,13560,356,476,1,1,1,1
mdl/olympus/olympus_docks_cargoframe_wall_256_01.rmdl,1668,38,60,1668,38,60,1,1,1,1
