Model,DataSize,Tris,Verts,DataSize (LOD0),Tris (LOD0),Verts (LOD0),Parts,Bones,LODs,Meshes
mdl/error.rmdl,29284,874,1202,29284,874,1202,1,1,1,1
mdl/dev/empty_model.rmdl,78,1,3,78,1,3,1,1,1,1
mdl/foliage/desertlands_alien_tree_leaf_large_01.rmdl,45288,2332,1304,24432,1288,696,1,1,4,1
mdl/desertlands/indust_struct_gondola_wires_02.rmdl,51600,2348,1563,35640,1656,1071,1,1,2,1
mdl/desertlands/indust_struct_gondola_wires_04.rmdl,33696,1584,1008,33696,1584,1008,1,1,1,1
mdl/desertlands/indust_struct_gondola_wires_01.rmdl,46872,2160,1413,33696,1584,1008,1,1,2,1
mdl/desertlands/indust_struct_cooling_tower_exterior_04.rmdl,11040,240,480,11040,240,480,1,1,1,1
mdl/desertlands/industrial_struct_bldg_02e.rmdl,23932,522,1040,17440,380,758,1,1,2,1
mdl/desertlands/industrial_struct_bldg_05d.rmdl,63870,1505,2742,39878,963,1705,1,1,4,2
mdl/colony/antenna_05_colony.rmdl,504126,15491,20559,190094,6129,7666,1,1,5,1
mdl/desertlands/indust_struct_cooling_tower_support_01.rmdl,5536,176,224,5536,176,224,1,1,1,1
mdl/thunderdome/survival_modular_flexscreens_04.rmdl,216,4,8,216,4,8,1,1,1,1
mdl/desertlands/indust_struct_gondola_platform_support_01.rmdl,10104,244,432,5848,148,248,1,1,2,1
mdl/desertlands/industrial_cargo_container_small_02.rmdl,200966,5811,8305,100744,3204,4076,1,1,5,4
mdl/desertlands/desertlands_train_track_wires_02.rmdl,2280,120,78,2280,120,78,1,1,1,1
mdl/desertlands/desertlands_train_track_wires_01.rmdl,5880,320,198,5880,320,198,1,1,1,1
mdl/desertlands/industrial_window_frame_ceiling_curved_01.rmdl,9616,216,416,7040,160,304,1,1,2,1
mdl/containers/storage_bin_rollup_door_closed.rmdl,50000,1460,2062,50000,1460,2062,1,1,1,1
mdl/desertlands/industrial_metal_frame_256x144_02.rmdl,65528,1668,2776,36288,968,1524,1,1,3,2
mdl/desertlands/industrial_metal_frame_wall_256x144_06.rmdl,20432,532,862,7976,236,328,1,1,4,1
mdl/desertlands/industrial_metal_frame_256x144_01.rmdl,39284,994,1666,21124,554,890,1,1,3,2
mdl/desertlands/industrial_window_frame_ceiling_curved_02.rmdl,4624,104,200,3520,80,152,1,1,2,1
mdl/desertlands/industrial_metal_base_support_01.rmdl,2354,49,103,1380,30,60,1,1,2,1
mdl/desertlands/industrial_metal_base_support_02.rmdl,2354,49,103,1380,30,60,1,1,2,1
mdl/desertlands/indust_struct_cooling_tower_doorway_01.rmdl,24412,642,1028,24412,642,1028,1,1,1,1
mdl/desertlands/desertlands_cafeteria_buffet_01.rmdl,87730,2875,3524,55194,1939,2178,1,1,4,2
mdl/desertlands/industrial_window_frame_wall_curved_01.rmdl,4440,100,192,3152,72,136,1,1,2,1
mdl/desertlands/industrial_door_frame_trim_192_01.rmdl,1104,24,48,1104,24,48,1,1,1,1
mdl/desertlands/industrial_window_wall_192x128_cover24_01.rmdl,27090,665,1155,14228,378,598,1,1,4,1
mdl/desertlands/industrial_door_frame_trim_160_01.rmdl,1104,24,48,1104,24,48,1,1,1,1
mdl/desertlands/industrial_door_frame_160x128_01.rmdl,37384,914,1595,20380,520,863,1,1,4,1
mdl/sewers/sewer_wire_black_set_thin_04.rmdl,34512,1702,1215,21888,1128,756,1,1,3,1
mdl/ola/sewer_wires_02.rmdl,74088,3668,2604,46928,2448,1612,1,1,4,1
mdl/market/market_table_01.rmdl,15880,450,659,15880,450,659,1,1,1,4
mdl/desertlands/industrial_door_frame_trim_128_02.rmdl,1104,24,48,1104,24,48,1,1,1,1
mdl/desertlands/construction_bldg_wood_board_01.rmdl,552,12,24,552,12,24,1,1,1,1
mdl/desertlands/industrial_window_wall_128x128_cover24_01.rmdl,25010,605,1069,12684,334,534,1,1,4,1
mdl/desertlands/industrial_window_wall_128x128_cover40_01.rmdl,26310,635,1125,13616,356,574,1,1,4,1
mdl/desertlands/industrial_metal_arm_support_02.rmdl,28680,820,1188,14424,444,588,1,1,3,1
mdl/sewers/sewer_wire_black_set_thick_02.rmdl,33360,1530,1209,20324,984,721,1,1,3,1
mdl/desertlands/desertlands_cafeteria_table_01.rmdl,44704,1514,1781,26784,944,1056,1,1,3,1
mdl/furniture/couch_suede_brown_01.rmdl,20872,862,785,12388,558,452,1,1,3,1
mdl/sewers/sewer_wire_black_set_thick_04.rmdl,50312,2472,1774,31772,1632,1099,1,1,3,1
mdl/desertlands/desertlands_lobby_double_doorframe_01.rmdl,26688,848,1080,17320,560,698,1,1,3,1
mdl/desertlands/desertlands_lobby_double_doorframe_02.rmdl,26648,848,1078,17280,560,696,1,1,3,1
mdl/desertlands/industrial_window_frame_128x80x16.rmdl,38876,866,1684,20448,468,882,1,1,4,1
mdl/desertlands/desertlands_convenience_store_sign_01_rui.rmdl,92,2,4,92,2,4,1,1,1,1
mdl/desertlands/industrial_door_frame_trim_128_01.rmdl,1104,24,48,1104,24,48,1,1,1,1
mdl/garbage/garbage_debris_box_a.rmdl,62888,1608,2662,28784,804,1198,1,1,3,1
mdl/relic/relic_yellow_wire_256_03.rmdl,3216,176,108,3216,176,108,1,1,1,1
mdl/desertlands/industrial_door_frame_128x128_02.rmdl,36528,888,1560,19680,500,834,1,1,4,1
mdl/desertlands/desertlands_cafeteria_table_02.rmdl,19128,618,771,11804,404,469,1,1,3,1
mdl/desertlands/industrial_door_frame_128x128_01.rmdl,36996,906,1578,19680,500,834,1,1,4,1
mdl/desertlands/industrial_window_frame_128x80x16_int.rmdl,11220,250,486,4360,100,188,1,1,4,1
mdl/rise/rise_door_frame_01.rmdl,107176,5016,3854,57576,2816,2034,1,1,3,1
mdl/playback/playback_panel_window_frame_c.rmdl,12880,340,542,12880,340,542,1,1,1,1
mdl/colony/farmland_domicile_table_02.rmdl,7700,300,295,7700,300,295,1,1,1,1
mdl/IMC_base/imc_tech_tallpanel_48_02.rmdl,4664,124,196,3652,102,152,1,1,2,1
mdl/industrial/underbelly_support_beam_256_01.rmdl,10056,236,360,7272,156,264,1,1,3,3
mdl/levels_terrain/mp_corporate/corporate_sign_dsgnOfic.rmdl,31906,1021,1289,31906,1021,1289,1,1,1,1
mdl/relic/relic_yellow_wire_256_02.rmdl,4320,240,144,4320,240,144,1,1,1,1
mdl/benches/bench_single_modern_dirty.rmdl,32760,880,1374,18616,516,776,1,1,3,1
mdl/desertlands/desertlands_lobby_doorframe.rmdl,19544,604,796,12720,400,516,1,1,3,1
mdl/desertlands/desertlands_lobby_doorframe_02.rmdl,19524,604,795,12700,400,515,1,1,3,1
mdl/domestic/city_bench_dirty_blue.rmdl,33348,1238,1296,17488,728,656,1,1,4,1
mdl/domestic/slums_fish_market_table_128x32_wood_01.rmdl,47012,1652,1855,27848,1088,1066,1,1,3,2
mdl/desertlands/industrial_window_frame_64x80x16.rmdl,36156,806,1566,18648,428,804,1,1,4,1
mdl/electricalboxes/pipe_set_c.rmdl,22680,1200,774,16272,912,540,1,1,2,1
mdl/firstgen/firstgen_pipe_256_darkcloth_01.rmdl,3168,108,126,1744,64,68,1,1,3,1
mdl/firstgen/firstgen_pipe_256_goldfoil_01.rmdl,3168,108,126,1744,64,68,1,1,3,1
mdl/sewers/sewer_wire_black_set_thick_01.rmdl,31744,1404,1166,18760,900,668,1,1,3,1
mdl/firstgen/firstgen_pipe_256_cloth_01.rmdl,3168,108,126,1744,64,68,1,1,3,1
mdl/desertlands/industrial_window_frame_64x80x8.rmdl,36444,814,1578,18936,436,816,1,1,4,1
mdl/sewers/sewer_wire_black_set_thick_03.rmdl,32116,1446,1172,19596,936,699,1,1,3,1
mdl/ola/sewer_wires_01.rmdl,73756,3656,2591,46928,2448,1612,1,1,4,1
mdl/desertlands/industrial_metal_arm_support_01.rmdl,2954,69,127,2072,52,88,1,1,2,1
mdl/colony/antenna_05_colony_small.rmdl,483092,14942,19672,190094,6129,7666,1,1,4,1
mdl/industrial/air_unit_badlands_02_tall.rmdl,18804,514,786,18804,514,786,1,1,1,1
mdl/desertlands/industrial_window_frame_64x68x16.rmdl,36444,814,1578,18936,436,816,1,1,4,1
